응답자ID,ID,나이,성별,실내환경1,실내환경2,실내환경3,실내환경4,실내환경5,실내환경6,실내환경7,실내환경8,실외환경1,실외환경2,주변편의시설1,주변편의시설2,공동시설1,공동시설2,공동시설3,공동시설4,공동시설5,공동시설6,경제성1
a99,동원주택,26,여,1,4,4,4,2,5,5,4,4,3,2,2,2,0,3,4,0,0,5
a100,이채하숙,24,여,1,1,4,4,1,3,4,3,4,5,5,4,2,2,2,3,3,3,0
a101,이채하숙,20,여,1,1,5,4,3,4,3,4,5,5,4,4,3,2,3,3,4,3,0
a102,이채하숙,21,여,2,2,5,3,2,4,3,3,4,4,4,3,3,1,3,4,3,4,0
a103,다룸,23,여,3,3,4,3,2,3,2,2,4,4,5,4,3,3,3,3,4,3,0
a104,다룸,23,여,4,4,4,4,3,2,3,2,4,4,4,4,3,3,3,4,3,3,0
a105,다룸,21,여,4,3,4,4,2,3,3,3,3,3,4,3,2,3,2,3,3,3,0
a106,이화블로섬하우스,20,여,3,4,2,3,3,3,3,3,4,4,4,5,4,4,3,4,4,4,3
a107,이화블로섬하우스,24,여,3,3,2,2,3,4,2,2,3,3,3,4,3,3,2,4,4,4,2
a108,이화블로섬하우스,22,여,2,3,1,1,2,2,3,2,4,3,4,4,4,3,3,3,3,5,3
a109,지니하숙,25,남,2,3,2,3,2,3,2,3,3,4,4,4,3,2,4,3,4,5,0
a110,지니하숙,20,남,3,4,3,3,3,4,3,3,4,4,3,3,3,3,4,3,3,4,0
a111,지니하숙,21,여,3,4,2,4,2,3,2,2,4,3,3,4,2,2,3,2,3,4,0
a112,월드컵하숙,22,여,4,3,3,4,2,3,4,3,4,4,5,4,3,2,3,3,3,3,0
a113,월드컵하숙,24,남,3,3,4,4,2,4,4,4,4,4,4,4,3,3,3,3,3,2,0
a114,월드컵하숙,21,여,3,4,2,3,1,3,3,4,3,3,4,3,3,3,2,3,2,1,0
a115,이연하숙,22,남,2,3,3,3,2,3,4,4,3,4,4,3,3,2,4,3,3,4,0
a116,이연하숙,22,여,2,2,2,3,2,3,4,4,3,3,3,4,2,1,3,2,3,4,0
